Rank                                           Won  Lost  Tied    PF    PA   Rating
 330 Colonial Beach                              5     6     0   287   261   40.952
 331 Tazewell                                    2     8     0   275   331   40.937
 332 Manassas Park                               2     8     0   116   215   40.775
 333 Isle of Wight                               4     5     0   204   217   40.645
 334 James Wood                                  1     9     0   118   296   40.485
 335 Midlothian                                  2     8     0   113   341   40.376
 336 Bluestone                                   3     7     0   202   310   39.684
 337 Warwick                                     0    10     0    88   362   39.601
 338 McMichael, NC                               0     1     0     0    55   39.536
 339 Hampton Roads Academy                       5     5     0   335   345   39.385
 340 Bath County                                 5     6     0   161   274   39.313
 341 Berkeley Springs, WV                        0     1     0     0    34   39.194
 342 Prince Edward                               1     9     0   195   323   38.938
 343 Hargrave Military                           3     8     0   214   400   38.892
 344 John Marshall                               0    10     0   148   376   38.864
 345 Norfolk Christian                           3     7     0   172   329   38.828
 346 Covenant                                    3     7     0   177   319   38.814
 347 George Marshall                             0    10     0   114   409   38.798
 348 Buffalo Gap                                 2     8     0   133   326   38.505
 349 Stonewall Jackson(Q)                        1     9     0   188   401   38.271
 350 Halifax County                              1     9     0   161   366   38.258
 351 Northwood                                   6     5     0   266   275   38.214
 352 Brentsville District                        0    10     0   122   414   37.699
 353 Floyd County                                2     8     0   187   319   37.637
 354 Fuqua                                       6     6     0   283   282   37.565
 355 Alleghany, NC                               0     1     0    28    41   37.532
 356 Eastside                                    5     6     0   298   257   37.355
 357 Wilson                                      0    10     0    34   371   37.225
 358 William Campbell                            1    10     0   106   466   37.191
 359 Rural Retreat                               4     7     0   195   380   37.091
 360 Page County                                 2     8     0   129   327   37.048
 361 Christchurch                                1     8     0   135   339   36.937
 362 Middlesex                                   7     4     0   226   242   36.589
 363 Portsmouth Christian                        3     7     0   249   388   36.321
 364 Randolph-Macon                              3     6     0   166   189   36.280
 365 Nandua                                      6     5     0   285   268   36.148
 366 Tug Valley, WV                              0     1     0     6    50   36.110
 367 Colonial Heights                            0    10     0   107   521   36.041
 368 Lancaster                                   4     7     0   380   333   36.020
 369 Arcadia                                     6     5     0   265   301   35.606
 370 Grundy                                      3     7     0   192   439   35.303
 371 Central(Wise)                               1     9     0   174   308   35.245
 372 Huguenot                                    1     9     0    53   431   35.130
 373 Kenston Forest                              4     6     0   179   281   35.071
 374 Hancock, MD                                 2     0     0    98    18   35.054
 375 Pendleton County, WV                        0     2     0    30    51   34.943
 376 Twin Springs                                4     6     0   211   290   34.315
 377 Baltimore Lutheran, MD                      0     1     0     7    37   34.307
 378 Southampton                                 2     8     0    72   349   34.285
 379 Harlan, KY                                  1     1     0    65    90   34.102
 380 Narrows                                     3     7     0   107   310   33.965
 381 Roanoke Catholic                            4     6     0   237   308   33.605
 382 Patrick Henry(GS)                           3     7     0   201   356   33.498
 383 Cumberland                                  2     9     0   177   456   33.091
 384 Chincoteague                                5     4     0   234   207   33.082
 385 Eastern Montgomery                          1     9     0   162   349   33.021
 386 Hurley                                      4     6     0   294   308   32.447
 387 Volunteer, TN                               0     1     0    12    37   32.237
 388 Pocahontas County, WV                       0     1     0     0     7   31.857
 389 George Wythe(R)                             0    10     0    52   410   31.773
 390 St. John's Prep, MD                         1     0     0    42    22   31.707
 391 Northumberland                              3     8     0   203   411   31.566
 392 Brunswick Academy                           2     8     0   170   235   31.399
 393 Greensville                                 1     9     0    79   426   30.915
 394 Nelson County                               0    10     0    83   457   30.852
 395 Greenbrier Christian                        1     9     0   138   342   30.762
 396 Windsor                                     1     9     0   142   335   30.332
 397 East Ridge, KY                              1     2     0    72    80   29.941
 398 North Stokes, NC                            0     1     0    13    46   29.915
 399 Patrick County                              0    10     0   114   623   29.508
 400 Mathews                                     2     8     0   193   368   29.501
 401 Hampton Christian                           1     8     0   146   356   29.357
