Rank                                           Won  Lost  Tied    PF    PA   Rating
 174 BAYSIDE                                     5     2     0   217   106  105.109
 175 POQUOSON                                    4     3     0   184   131  104.956
 176 CAVE SPRING                                 3     4     0   132   163  104.915
 177 STAFFORD                                    4     3     0   143   172  104.888
 178 SAINT JAMES, MD                             1     0     0    68    33  104.864
 179 WAYNESBORO                                  3     5     0   140   194  104.805
 180 GILES                                       4     3     0   186   127  104.734
 181 MARTINSVILLE                                4     3     0   194   155  104.688
 182 FORT CHISWELL                               5     2     0   181   173  104.611
 183 NORTHSIDE                                   1     6     0   124   313  104.584
 184 BLACKSBURG                                  3     4     0   234   218  104.577
 185 LANDSTOWN                                   5     2     0   160   133  104.485
 186 FALLS CHURCH                                4     3     0   239   158  104.455
 187 LURAY                                       5     2     0   183   145  104.303
 188 GLENVAR                                     5     2     0   169    85  104.214
 189 CLOVER HILL                                 1     6     0   169   295  104.144
 190 WOODSTOCK CENTRAL                           5     1     0   220   153  104.124
 191 TABB                                        4     3     0   197   133  104.121
 192 FRANKLIN COUNTY                             3     5     0   233   263  103.307
 193 MONTICELLO                                  3     4     0   193   172  103.277
 194 PERSON, NC                                  1     0     0    48    27  103.154
 195 HICKORY                                     2     5     0    85   153  103.152
 196 GRANBY                                      4     3     0   136   147  103.145
 197 GATE CITY                                   3     5     0   230   259  103.081
 198 KETTLE RUN                                  2     5     0   132   213  103.027
 199 GOOD COUNSEL, MD                            0     1     0    13    25  102.980
 200 FAUQUIER                                    4     4     0   248   168  102.975
 201 TURNER ASHBY                                4     4     0   261   208  102.940
 202 OCEAN LAKES                                 5     2     0   181   100  102.934
 203 GREAT BRIDGE                                1     6     0   106   275  102.916
 204 PATRIOT                                     3     4     0   181   177  102.839
 205 FOREST PARK                                 3     4     0   171   200  102.703
 206 KECOUGHTAN                                  2     6     0    87   298  102.654
 207 R.E. LEE(SP)                                2     5     0   155   285  102.642
 208 HEDGESVILLE, WV                             1     1     0    39    48  102.247
 209 FLINT HILL                                  5     1     0   122    56  102.223
 210 NORTH CROSS                                 7     0     0   346   117  102.083
 211 MARION                                      5     2     0   271    94  102.026
 212 ROANOKE RAPIDS, NC                          1     0     0    29    12  101.893
 213 LOUDOUN COUNTY                              3     4     0   146   244  101.839
 214 LIBERTY CHRISTIAN                           3     5     0   195   218  101.653
 215 MERCERSBURG, PA                             1     0     0    28    25  101.634
 216 ST. STEPHEN'S & ST. AGNES                   3     3     0   144   184  101.583
 217 CENTRAL(L)                                  6     1     0   263   125  101.420
 218 BISHOP O'CONNELL                            2     5     0    65   187  101.185
 219 PARK VIEW(SH)                               5     1     0   203   119  101.115
 220 POTOMAC                                     3     4     0   148   157  101.006
 221 WARHILL                                     3     4     0   203   240  100.996
 222 J.E.B. STUART                               4     3     0   162   175  100.969
 223 WILLIAM MONROE                              4     3     0   145   209  100.811
 224 THOMAS JEFFERSON(R)                         3     3     0   110   154  100.726
